iteration_id,recorded_date,stage_order,stage_id,parent_stage_id,node_label,count,node_kind,criteria,source_output,notes
predownload_screen_2026_06_09,2026-06-09,4,predownload_download_first,likely_qualified_metadata,Download first after strict pre-download metadata screen,20,inclusion,"Direct repository, explicit file/tabular signal, publication DOI, human clinical/health signal, no strict red flags, and not already curated",outputs/rct_candidate_screening/predownload_screen/download_first_shortlist.csv,Immediate first batch before any broad data downloads.
predownload_screen_2026_06_09,2026-06-09,4,predownload_exclude_before_download,likely_qualified_metadata,Exclude before download after strict metadata screen,322,exclusion,"Restriction/custom/DUA, animal/veterinary, observational/secondary analysis, protocol/materials-only, cluster/stepped-wedge, aggregate/simulation, meta-analysis/genome-only, or non-clinical/social-policy signal",outputs/rct_candidate_screening/predownload_screen/likely_qualified_predownload_screen.csv,Excluded from pre-download work queue.
predownload_screen_2026_06_09,2026-06-09,4,predownload_landing_page_first,likely_qualified_metadata,Landing page or file manifest first,92,review,"Direct repository plus publication DOI and human clinical/health signal, but explicit file evidence is missing; inspect landing page or file manifest before data download",outputs/rct_candidate_screening/predownload_screen/landing_page_first_shortlist.csv,No dataset download yet; check source file listing first.
predownload_screen_2026_06_09,2026-06-09,4,predownload_source_specific_manual,likely_qualified_metadata,Source-specific manual check,71,review,"Explicit file signal plus publication DOI and health signal, but source is not a preferred direct open repository or requires special interpretation",outputs/rct_candidate_screening/predownload_screen/likely_qualified_predownload_screen.csv,"Includes harvested ICPSR, publisher Figshare, and similar sources."
download_first_verification_2026_06_09,2026-06-09,5,download_first_verified_attempted,predownload_download_first,Official downloads and pre-cleaning verification attempted,20,screening,"Fetch official repository metadata and data files, inspect readable participant-level tables, and require open/no-DUA, publication, individual-level rows, treatment assignment, and outcomes before cleaning",rct_expansion/provenance/predownload_verification_2026_06_09/verification_results.csv,Data were downloaded into a quarantine provenance folder rather than active trial folders.
landing_page_verification_2026_06_09,2026-06-09,5,landing_page_verified_attempted,predownload_landing_page_first,Official landing-page/file-manifest downloads and pre-cleaning verification attempted,92,screening,"Fetch official repository metadata and data files, inspect readable participant-level tables, and require open/no-DUA, publication, individual-level rows, treatment assignment, and outcomes before cleaning",rct_expansion/provenance/landing_page_verification_2026_06_09/verification_results_curated.csv,Data were downloaded into a quarantine provenance folder rather than active trial folders.
download_first_verification_2026_06_09,2026-06-09,6,download_first_method_review_crossover,download_first_verified_attempted,Method review before cleaning,3,review,Downloaded files looked analyzable but metadata/data indicate crossover treatment sequence rather than a straightforward parallel-arm trial,rct_expansion/provenance/predownload_verification_2026_06_09/verification_results.csv,Do not clean until deciding whether crossover trials are admissible for the benchmark.
download_first_verification_2026_06_09,2026-06-09,6,download_first_not_qualified_before_cleaning,download_first_verified_attempted,Not qualified before cleaning,3,exclusion,Official download/access failed or downloaded participant-level data lacked treatment assignment/open data needed for benchmark cleaning,rct_expansion/provenance/predownload_verification_2026_06_09/verification_results.csv,"Includes the Dryad stroke record with 403 file-stream downloads, restricted/no-file Zenodo DTM record, and PredictTB criteria dataset without treatment assignment."
download_first_verification_2026_06_09,2026-06-09,6,download_first_qualified_for_cleaning,download_first_verified_attempted,Qualified for cleaning after downloaded-file verification,14,inclusion,"Official files downloaded/reused and crude checks passed for open access, publication signal, individual-level rows, treatment/group assignment, and outcomes; no crossover/method flag",rct_expansion/provenance/predownload_verification_2026_06_09/verification_results.csv,"Still requires primary-publication review, cleaning, validation, and outcome reproducibility audit before becoming active analysis-ready data."
landing_page_verification_2026_06_09,2026-06-09,6,landing_page_access_failed_official_route,landing_page_verified_attempted,Access failed through official route,10,review,Official open route exposed records or file manifests but file downloads failed with 403/401 or equivalent access failure,rct_expansion/provenance/landing_page_verification_2026_06_09/access_failed_official_route_queue.csv,Do not bypass repository access controls; revisit only if official download behavior changes.
landing_page_verification_2026_06_09,2026-06-09,6,landing_page_access_retry_rate_limited,landing_page_verified_attempted,Access retry after repository rate limit,41,review,Dryad API returned HTTP 429 during official metadata/file-manifest checks; do not classify as scientific ineligibility without a later courteous retry,rct_expansion/provenance/landing_page_verification_2026_06_09/access_retry_rate_limited_queue.csv,Retry later with a slower Dryad-specific cadence if these candidates remain needed.
landing_page_verification_2026_06_09,2026-06-09,6,landing_page_method_review_crossover,landing_page_verified_attempted,Method review before cleaning,1,review,Metadata/data indicate crossover treatment sequence or similar method issue before benchmark cleaning,rct_expansion/provenance/landing_page_verification_2026_06_09/method_review_before_cleaning_queue.csv,Do not clean until deciding whether crossover trials are admissible for the benchmark.
landing_page_verification_2026_06_09,2026-06-09,6,landing_page_needs_manual_review,landing_page_verified_attempted,Needs manual review before cleaning,22,review,Official files downloaded or records inspected but crude checks did not confirm all participant-level treatment/outcome requirements,rct_expansion/provenance/landing_page_verification_2026_06_09/needs_manual_review_before_cleaning_queue.csv,Manual file/publication review is needed before any cleaning.
landing_page_verification_2026_06_09,2026-06-09,6,landing_page_not_qualified_before_cleaning,landing_page_verified_attempted,Not qualified before cleaning,14,exclusion,Official manifest/download inspection did not identify qualifying individual-level RCT data with treatment assignment and outcomes,rct_expansion/provenance/landing_page_verification_2026_06_09/not_qualified_before_cleaning_queue.csv,Excluded from the immediate cleaning queue unless new source information is found.
landing_page_verification_2026_06_09,2026-06-09,6,landing_page_qualified_for_cleaning,landing_page_verified_attempted,Qualified for cleaning after downloaded-file verification,4,inclusion,"Official files downloaded/reused and crude checks passed for open access, publication signal, individual-level rows, treatment/group assignment, and outcomes; no crossover/method flag",rct_expansion/provenance/landing_page_verification_2026_06_09/qualified_for_cleaning_queue.csv,"Still requires primary-publication review, cleaning, validation, and outcome reproducibility audit before becoming active analysis-ready data."
trials81_94_cleaning_2026_06_09,2026-06-09,7,download_first_cleaned_trials81_94_preliminary,download_first_qualified_for_cleaning,Preliminary cleaned trial81-trial94 datasets,14,screening,Official downloaded files copied to active raw_data folders and transformed to participant-level cleaned CSV/RDS files; publication outcome audit still pending.,rct_expansion/metadata/meta_data_trials81_94_pre_renumbering_preliminary.xlsx; rct_expansion/provenance/trials81_94_renumbering_map.csv,Historical pre-renumbering snapshot only; failed candidates now live in backup/B06-B13 and passing candidates are active trial81-trial86.
trials81_94_cleaning_2026_06_09,2026-06-09,8,download_first_cleaned_trials81_94_contract_pass,download_first_cleaned_trials81_94_preliminary,Preliminary cleaned trial81-trial94 datasets passing structural contract,14,inclusion,"Treatment has at least two levels, at least one YP_* outcome exists, CSV/RDS outputs load, and no duplicate names or exact duplicate columns are present.",rct_expansion/provenance/validation_summary_trials81_94_pre_renumbering.csv,Historical structural validation before publication-audit backup/renumbering; current active validation is validation_summary_trials81_86.csv.
trials81_94_publication_audit_2026_06_09,2026-06-09,9,trials81_94_primary_publication_reviewed,download_first_cleaned_trials81_94_contract_pass,Trial81-trial94 primary-publication reviews completed,14,screening,Reviewed associated primary publications/preprints and extracted primary outcome targets.,rct_expansion/provenance/publication_review_trials81_94.csv,This is the next narrowing gate after structural validation.
trials81_94_publication_audit_2026_06_09,2026-06-09,10,trials81_94_no_primary_publication,trials81_94_primary_publication_reviewed,Trials without associated main publication,1,exclusion,"No associated main results publication could be identified from repository, registry, DOI, or web search.",rct_expansion/provenance/publication_review_trials81_94.csv,Trial88 is excluded unless a valid main results publication appears.
trials81_94_publication_audit_2026_06_09,2026-06-09,10,trials81_94_primary_publication_identified,trials81_94_primary_publication_reviewed,Trials with associated main publication or preprint identified,13,inclusion,Associated main results publication or preprint could be identified and linked.,rct_expansion/provenance/publication_review_trials81_94.csv,Trial88 fails this gate and remains outside the analysis-ready set.
trials81_94_publication_audit_2026_06_09,2026-06-09,11,trials81_94_primary_audit_analysis_ready,trials81_94_primary_publication_identified,Trials passing primary-publication outcome audit gate,6,inclusion,"At least one publication-supported primary outcome target reproduced within the audit decision rules, with blocking issues absent or documented as nonblocking.",rct_expansion/provenance/audit_decisions_trials81_94.csv; rct_expansion/provenance/outcome_reproducibility_audit_trials81_94.csv,"Original temporary IDs 85, 86, 89, 91, 92, and 93 were renumbered as active trial81-trial86; trial84 has PHQ caution noted."
trials81_94_publication_audit_2026_06_09,2026-06-09,11,trials81_94_primary_audit_not_analysis_ready,trials81_94_primary_publication_identified,"Trials needing reclean, model reproduction, or exclusion after audit",7,exclusion,"Primary target was missing, model-only, filtered but unreconstructed, mismatched, or lacking a main publication.",rct_expansion/provenance/audit_decisions_trials81_94.csv; rct_expansion/provenance/outcome_reproducibility_audit_trials81_94.csv,"Original temporary IDs 81, 82, 83, 84, 87, 90, and 94 were moved to backup/B06-B10, B12, and B13 among publication-linked trials."
trials81_94_publication_audit_2026_06_09,2026-06-09,12,trials81_94_final_analysis_ready_after_audit,trials81_94_primary_audit_analysis_ready,Renumbered trial81-trial86 analysis-ready after publication audit,6,inclusion,"Final reduced active trial81-trial86 set after primary-publication review, reproducibility audit, and backup archiving.",rct_expansion/metadata/meta_data_trials81_86_audited.xlsx,Analysis-ready count is provisional for active trial84 if PHQ-9 is treated as co-primary rather than secondary.
trials81_86_active_after_audit_2026_06_09,2026-06-09,13,trials81_86_active_after_backup_renumbering,trials81_94_final_analysis_ready_after_audit,Renumbered active trial81-trial86 datasets,6,screening,Publication-audit-passing trial81-trial94 candidates were renumbered contiguously as active trial81-trial86; failures were moved to backup/B06-B13.,rct_expansion/provenance/trials81_94_renumbering_map.csv; rct_expansion/cleaned_data/trial81.csv through trial86.csv,Active IDs are final IDs; original temporary IDs are retained only in provenance and backup folders.
trials81_86_active_after_audit_2026_06_09,2026-06-09,14,trials81_86_active_contract_pass_after_renumbering,trials81_86_active_after_backup_renumbering,Renumbered active trial81-trial86 datasets passing structural contract,6,inclusion,"Treatment has at least two levels, at least one YP_* outcome exists, CSV/RDS outputs load, and no duplicate names or exact duplicate columns are present after renumbering.",rct_expansion/provenance/validation_summary_trials81_86.csv,These six trials are the active post-audit branch after failed candidates were archived.
landing_page_recheck_2026_06_11,2026-06-11,5,landing_page_recheck_attempted,predownload_landing_page_first,June 11 official landing-page/file-manifest recheck attempted,92,screening,Rechecked all landing-page/file-manifest candidates using official repository metadata and download routes with a one-second request delay; locally reinspected downloaded Excel/SPSS files using available bundled readers,rct_expansion/provenance/landing_page_recheck_2026_06_11/verification_results_curated.csv,Fresh recheck preserves the June 9 audit and clarifies Dryad failures as mostly official download/access failures rather than missing manifests.
landing_page_recheck_2026_06_11,2026-06-11,6,landing_page_recheck_qualified_for_cleaning,landing_page_recheck_attempted,Qualified for cleaning after June 11 downloaded-file verification,14,inclusion,"Official files downloaded/reused and crude checks passed for open access, publication signal, individual-level rows, treatment/group assignment, and outcomes; no crossover/method flag",rct_expansion/provenance/landing_page_recheck_2026_06_11/qualified_for_cleaning_queue.csv,"Still requires primary-publication review, cleaning, validation, and outcome reproducibility audit before becoming active analysis-ready data."
landing_page_recheck_2026_06_11,2026-06-11,6,landing_page_recheck_method_review_crossover,landing_page_recheck_attempted,Method review before cleaning,1,review,Metadata/data indicate crossover treatment sequence or similar method issue before benchmark cleaning,rct_expansion/provenance/landing_page_recheck_2026_06_11/method_review_before_cleaning_queue.csv,Do not clean until deciding whether crossover trials are admissible for the benchmark.
landing_page_recheck_2026_06_11,2026-06-11,6,landing_page_recheck_needs_manual_review,landing_page_recheck_attempted,Needs manual review before cleaning,7,review,Official files downloaded or records inspected but crude checks did not confirm all participant-level treatment/outcome requirements,rct_expansion/provenance/landing_page_recheck_2026_06_11/needs_manual_review_before_cleaning_queue.csv,Manual file/publication review is needed before any cleaning.
landing_page_recheck_2026_06_11,2026-06-11,6,landing_page_recheck_access_retry_rate_limited,landing_page_recheck_attempted,Access retry after repository rate limit,29,review,Dryad API or file endpoints returned HTTP 429 during official metadata/file/download checks even with the slower retry cadence,rct_expansion/provenance/landing_page_recheck_2026_06_11/access_retry_rate_limited_queue.csv,Retry only later with an even slower Dryad-specific cadence if these candidates remain needed.
landing_page_recheck_2026_06_11,2026-06-11,6,landing_page_recheck_access_failed_official_route,landing_page_recheck_attempted,Access failed through official route,21,review,Official open route exposed records or file manifests but file downloads failed with 401/403 or equivalent access failure,rct_expansion/provenance/landing_page_recheck_2026_06_11/access_failed_official_route_queue.csv,Do not bypass repository access controls; revisit only if official download behavior changes.
landing_page_recheck_2026_06_11,2026-06-11,6,landing_page_recheck_not_qualified_before_cleaning,landing_page_recheck_attempted,Not qualified before cleaning,20,exclusion,Official manifest/download inspection did not identify qualifying individual-level RCT data with treatment assignment and outcomes,rct_expansion/provenance/landing_page_recheck_2026_06_11/not_qualified_before_cleaning_queue.csv,Excluded from the immediate cleaning queue unless new source information is found.
landing_page_manual_download_recheck_2026_06_11,2026-06-11,7,landing_page_manual_download_rctc_01363_likely_qualified,landing_page_recheck_access_failed_official_route,Manual download recheck likely qualified candidate,1,review,"User-provided manually downloaded Dryad Raw_data.xlsx and read_me_file.docx were copied to quarantine provenance and inspected; file contains 120 participant rows, Group treatment arms, and candidate pre/post outcome variables",rct_expansion/provenance/landing_page_recheck_2026_06_11/manual_download_recheck_RCTC-01363.csv,"Automated official Dryad download route returned 401, so this remains a manual-download addendum pending publication review and outcome reproducibility audit."
manual_download_rescue_2026_06_11,2026-06-11,7,manual_download_rescue_workspace_created,landing_page_recheck_attempted,Manual download rescue workspace for unresolved landing-page candidates,70,screening,"Created target manifest, clickable portal, candidate drop folders, alternate official route attempt log, and manual ingest script for access-failed, rate-limited, and not-qualified-before-cleaning candidates",rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_download_targets.csv; rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_download_portal.html,Manual workflow uses official landing pages only and does not bypass repository controls.
manual_download_rescue_2026_06_11,2026-06-11,8,manual_download_rescue_current_manual_files_qualified,manual_download_rescue_workspace_created,Current manual files passing crude eligibility,2,inclusion,"Manual files currently present in the rescue workspace pass crude participant-level, treatment-assignment, and outcome checks",rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_ingest_qualified_for_cleaning_queue.csv,Includes RCTC-01363 from user-supplied Dryad files and RCTC-01313 from matching files found in Downloads; both still require publication review and outcome reproducibility audit before active cleaning.
deferred_likely_qualified_evaluation_2026_06_11,2026-06-11,5,deferred_likely_qualified_evaluated,likely_qualified_metadata,Deferred likely-qualified candidates evaluated,704,screening,Metadata-only qualification evaluation of likely-qualified candidates previously deferred for missing access/file certainty or low clinical/data confidence.,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/deferred_candidate_qualification.csv,No raw data were downloaded in this gate; candidates marked source-verification still require official manifest/download inspection.
deferred_likely_qualified_evaluation_2026_06_11,2026-06-11,6,deferred_qualified_for_source_verification,deferred_likely_qualified_evaluated,Qualified for source verification,8,inclusion,"Publication, randomization, human clinical, open reuse, and raw/participant-level data wording were all present without disqualifying metadata signals.",rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/qualified_for_source_verification_queue.csv,Run official source/file-manifest verification before cleaning.
deferred_likely_qualified_evaluation_2026_06_11,2026-06-11,6,deferred_needs_manual_source_review,deferred_likely_qualified_evaluated,Needs manual source review,7,review,"Core publication/randomization/health/open signals present with tabular/file evidence, but metadata does not confirm participant-level treatment/outcome data.",rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/needs_manual_source_review_queue.csv,Manual source-file inspection is required before any download or cleaning queue decision.
deferred_likely_qualified_evaluation_2026_06_11,2026-06-11,6,deferred_access_or_file_uncertain,deferred_likely_qualified_evaluated,Access or file route still uncertain,572,review,"Clinical publication-backed candidate, but source/file-access metadata remains too sparse to qualify.",rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/access_or_file_uncertain_queue.csv,Keep deferred until a lawful official file route is identified.
deferred_likely_qualified_evaluation_2026_06_11,2026-06-11,6,deferred_not_qualified_before_cleaning,deferred_likely_qualified_evaluated,Not qualified before cleaning,117,exclusion,"Metadata contains disqualifying or unresolved core eligibility signals such as non-data supplement, aggregate table, protocol/material, non-clinical, observational, unclear randomization, or unclear open reuse.",rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/not_qualified_before_cleaning_queue.csv,Do not clean unless new source information resolves the stated issue.
deferred_likely_qualified_source_verification_2026_06_11,2026-06-11,7,deferred_source_verification_attempted,deferred_likely_qualified_evaluated,Deferred candidates source-verified,15,screening,Official repository metadata/file routes were checked for deferred candidates that passed metadata qualification or needed manual source review.,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/final_deferred_candidate_disposition.csv,"Registered 20 files, downloaded 20, and inspected 12 readable tables."
deferred_likely_qualified_source_verification_2026_06_11,2026-06-11,8,deferred_source_verified_qualified,deferred_source_verification_attempted,Qualified after source verification,3,inclusion,"Official files downloaded and crude checks passed for open reuse, publication/randomization signal, participant-level rows, treatment/group assignment, and outcomes.",rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/final_qualified_for_cleaning_queue.csv,"Still requires primary-publication review, cleaning, validation, and reproducibility audit before active inclusion."
deferred_likely_qualified_source_verification_2026_06_11,2026-06-11,8,deferred_source_verified_needs_manual_review,deferred_source_verification_attempted,Needs manual review after source verification,7,review,"Official files downloaded or metadata inspected, but one or more publication, participant-level, treatment, or outcome checks remain unresolved.",rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/final_needs_manual_review_before_cleaning_queue.csv,Manual file/publication review is needed before cleaning.
deferred_likely_qualified_source_verification_2026_06_11,2026-06-11,8,deferred_source_verified_not_qualified,deferred_source_verification_attempted,Not qualified after source verification,5,exclusion,Official source verification did not confirm qualifying participant-level RCT data with treatment assignment and outcomes.,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/final_not_qualified_before_cleaning_queue.csv,Do not clean unless source information changes.
deferred_likely_qualified_source_verification_2026_06_11,2026-06-11,8,deferred_final_access_or_file_uncertain,deferred_likely_qualified_evaluated,Still deferred for access or file uncertainty,572,review,Metadata remains publication-backed and clinical but lacks a confirmed lawful file route or enough file evidence.,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/final_access_or_file_uncertain_queue.csv,Keep outside the cleaning queue until an official file route is identified.
deferred_likely_qualified_source_verification_2026_06_11,2026-06-11,8,deferred_final_metadata_not_qualified,deferred_likely_qualified_evaluated,Not qualified by metadata only,117,exclusion,Metadata-only evaluation found disqualifying or unresolved core eligibility issues.,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/final_not_qualified_before_cleaning_queue.csv,Do not clean unless new source information resolves the issue.
manual_review_user_files_2026_06_11,2026-06-11,9,manual_review_user_files_checked,deferred_source_verified_needs_manual_review,User-provided manual-review files checked,5,screening,Inspected user-provided Downloads files and one existing official quarantine table where the provided archive was mismatched.,rct_expansion/provenance/manual_review_user_files_2026_06_11/manual_review_user_candidate_decisions.csv,"The provided RCTC-01557.zip was a mismatched duplicate of the eyeglasses dataset, so the existing official RCTC-01557 quarantine table was inspected for the candidate decision."
manual_review_user_files_2026_06_11,2026-06-11,10,manual_review_user_qualified,manual_review_user_files_checked,Qualified after manual data review,3,inclusion,Manual table inspection decision for user-supplied files.,rct_expansion/provenance/manual_review_user_files_2026_06_11/manual_review_user_candidate_decisions.csv,Qualified candidates still require primary-publication review and outcome reproducibility audit before active inclusion.
manual_review_user_files_2026_06_11,2026-06-11,10,manual_review_user_not_qualified,manual_review_user_files_checked,Not qualified after manual data review,1,exclusion,Manual table inspection decision for user-supplied files.,rct_expansion/provenance/manual_review_user_files_2026_06_11/manual_review_user_candidate_decisions.csv,Qualified candidates still require primary-publication review and outcome reproducibility audit before active inclusion.
manual_review_user_files_2026_06_11,2026-06-11,10,manual_review_user_duplicate,manual_review_user_files_checked,Duplicate of active expansion trial,1,exclusion,Manual table inspection decision for user-supplied files.,rct_expansion/provenance/manual_review_user_files_2026_06_11/manual_review_user_candidate_decisions.csv,Qualified candidates still require primary-publication review and outcome reproducibility audit before active inclusion.
manual_review_trials116_121_cleaning_2026_06_11,2026-06-11,11,manual_review_trials116_121_cleaned,manual_review_user_qualified,Manual-review candidates cleaned as trial116-trial121,6,screening,"Copied source files to raw_data, constructed compact participant-level cleaned CSV/RDS outputs, and generated batch metadata/data dictionary.",rct_expansion/provenance/validation_summary_manual_review_trials116_121.csv,These are structural cleaning outputs pending primary-publication review and outcome reproducibility audit.
manual_review_trials116_121_cleaning_2026_06_11,2026-06-11,12,manual_review_trials116_121_contract_pass,manual_review_trials116_121_cleaned,Trial116-trial121 cleaned outputs passing structural contract,6,inclusion,"Treatment exists with at least two arms, at least one YP_* outcome exists, and CSV/RDS outputs were written.",rct_expansion/provenance/validation_summary_manual_review_trials116_121.csv,Publication-supported primary outcome confirmation is still required.
