Trial_ID,Paper Name,Paper Link,Citation,publication_folder
87,Comparison of hemodynamic response to tracheal intubation and postoperative pain in closed reduction of nasal bone fracture,https://doi.org/10.1186/s12871-016-0279-x,Comparison of hemodynamic response to tracheal intubation and postoperative pain in closed reduction of nasal bone fracture. BMC Anesthesiology (2016). doi:10.1186/s12871-016-0279-x,publications/trial87
88,Effects of nutrition education on recurrent coronary events after PCI,https://doi.org/10.1186/s40795-016-0111-5,Effects of nutrition education on recurrent coronary events after PCI. BMC Nutrition (2016). doi:10.1186/s40795-016-0111-5,publications/trial88
89,Acupuncture and nimodipine for mild cognitive impairment after cerebral infarction,https://doi.org/10.1186/s12906-016-1337-0,Acupuncture and nimodipine for mild cognitive impairment after cerebral infarction. BMC Complementary and Alternative Medicine (2016). doi:10.1186/s12906-016-1337-0,publications/trial89
90,Community pharmacist-led medication review in patients on polypharmacy,https://doi.org/10.1186/s12913-016-1384-8,Community pharmacist-led medication review in patients on polypharmacy. BMC Health Services Research (2016). doi:10.1186/s12913-016-1384-8,publications/trial90
91,MOVE-trial: Monocryl vs Vicryl Rapide for skin repair in mediolateral episiotomies,https://doi.org/10.1186/s12884-017-1545-8,MOVE-trial: Monocryl vs Vicryl Rapide for skin repair in mediolateral episiotomies. BMC Pregnancy and Childbirth (2017). doi:10.1186/s12884-017-1545-8,publications/trial91
92,Health education intervention to improve malaria preventive practices in pregnancy,https://doi.org/10.1186/s12936-021-03586-5,Health education intervention to improve malaria preventive practices in pregnancy. Malaria Journal (2021). doi:10.1186/s12936-021-03586-5,publications/trial92
93,Impact of text message reminders on adherence to antimalarial treatment,https://doi.org/10.1371/journal.pone.0109032,Impact of text message reminders on adherence to antimalarial treatment. PLOS ONE (2014). doi:10.1371/journal.pone.0109032,publications/trial93
94,Daily SMS medication reminder system and tuberculosis treatment outcomes in Pakistan,https://doi.org/10.1371/journal.pone.0162944,Daily SMS medication reminder system and tuberculosis treatment outcomes in Pakistan. PLOS ONE (2016). doi:10.1371/journal.pone.0162944,publications/trial94
95,LaMaTuPe: laryngeal mask vs laryngeal tube in pediatric patients,https://doi.org/10.1097/MEJ.0000000000001178,LaMaTuPe: laryngeal mask vs laryngeal tube in pediatric patients. European Journal of Emergency Medicine (2025). doi:10.1097/MEJ.0000000000001178,publications/trial95
96,Effects of a Lamellar-Structured Ceramide-Containing Emulsion on the Skin Barrier Function of Surgical Nurses: A Randomized Controlled Trial,Not identified,Dataset record only: Zenodo 17562062. Main publication not identified in prior audit.,publications/trial96
97,Effect of a tailored multidimensional intervention on the care burden among family caregivers of stroke survivors: A randomised controlled trial,https://doi.org/10.5061/dryad.gf1vhhmm5,,publications/trial97
98,Data from: Strategies for understanding and reducing the Plasmodium vivax and Plasmodium ovale hypnozoite reservoir in Papua New Guinean children: a randomised placebo-controlled trial and mathematical model,https://doi.org/10.5061/dryad.m1n03,,publications/trial98
99,Data from: Randomised controlled trial of an education and support package for stroke patients and their carers,https://doi.org/10.5061/dryad.4ms68,,publications/trial99
100,"Data from: Can recombinant human thrombomodulin increase survival among patients with severe septic-induced disseminated intravascular coagulation: a single-centre, open-label, randomised controlled trial",https://doi.org/10.5061/dryad.2n6v4,,publications/trial100
101,Data from: Cost-effectiveness of a specialist geriatric medical intervention for frail older people discharged from acute medical units: economic evaluation in a two-centre randomised controlled trial (AMIGOS),https://doi.org/10.5061/dryad.6vh02,,publications/trial101
102,Data from: Adjunctive clindamycin for cellulitis: clinical trial comparing flucloxacillin with or without clindamycin for the treatment of limb cellulitis,https://doi.org/10.5061/dryad.5q1j0,,publications/trial102
103,Data from: Economic evaluation of a general hospital unit for older people with delirium and dementia (TEAM randomised controlled trial),https://doi.org/10.5061/dryad.90p17,,publications/trial103
104,"Data from: Perioperative medication management: expanding the role of the preadmission clinic pharmacist in a single centre, randomised controlled trial of collaborative prescribing",https://doi.org/10.5061/dryad.81tr1,,publications/trial104
105,Data from: A 12-week exercise program for pregnant women with obesity to improve physical activity levels: an open randomised preliminary study,https://doi.org/10.5061/dryad.87f03,,publications/trial105
106,Data from: Third wave cognitive therapy versus mentalization-based treatment for major depressive disorder: a randomised clinical trial,https://doi.org/10.5061/dryad.2d7h5,,publications/trial106
107,Data from: A randomised trial comparing the clinical effectiveness of different emergency department healthcare professionals in soft tissue injury management,https://doi.org/10.5061/dryad.8jf11,,publications/trial107
108,Randomized trial of AKI alerts in hospitalized patients,https://doi.org/10.5061/dryad.4f4qrfj95,,publications/trial108
109,A comparative study between Vitamin K1 and K2 on vascular calcification in hemodialysis patients: a randomized controlled trial,https://doi.org/10.5061/dryad.vx0k6djsv,,publications/trial109
110,Data from: Intravenous ferumoxytol versus oral ferrous sulfate for iron deficiency anemia in pregnancy: A randomized controlled trial,https://doi.org/10.5061/dryad.k3j9kd5qd,,publications/trial110
111,Dataset on the effectiveness of cognitive training using the abacus-based mental calculation training application,https://doi.org/10.5061/dryad.1ns1rn8zx,,publications/trial111
112,Data from: Patterned frequency-modulated oral stimulation in preterm infants: a multicenter randomized controlled trial,https://doi.org/10.5061/dryad.rg57q6m,,publications/trial112
113,Data from: A randomised controlled pilot study of standardised counselling and cost-free pharmacotherapy for smoking cessation among stroke and TIA patients,https://doi.org/10.5061/dryad.p67jf576,,publications/trial113
114,Data from: Early sitting in ischemic stroke patients (SEVEL): a randomized controlled trial,https://doi.org/10.5061/dryad.jh15q,,publications/trial114
115,"Randomized control trial of SMS for postpartum behaviors and family planning in Kiambu County, Kenya",https://doi.org/10.5061/dryad.866t1g1nw,,publications/trial115
116,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,https://doi.org/10.7910/dvn/6i62qk,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy. Dataset DOI: 10.7910/dvn/6i62qk.,publications/trial116
117,Effects of S-Ketamine and Midazolam on Respiratory Variability: A Randomized Controlled Pilot Trial,https://doi.org/10.34894/bazoqf,Effects of S-Ketamine and Midazolam on Respiratory Variability: A Randomized Controlled Pilot Trial. Dataset DOI: 10.34894/bazoqf.,publications/trial117
118,Cerebrolysin and repetitive transcranial magnetic stimulation in traumatic brain injury,https://doi.org/10.7910/dvn/dofciv,Cerebrolysin and repetitive transcranial magnetic stimulation in traumatic brain injury. Dataset DOI: 10.7910/dvn/dofciv.,publications/trial118
119,Pain perceived during hysteroscopic morcellation by vaginoscopy vs standard technique in an outpatient setting,https://doi.org/10.5683/sp3/qk5zrd,Pain perceived during hysteroscopic morcellation by vaginoscopy vs standard technique in an outpatient setting. Dataset DOI: 10.5683/sp3/qk5zrd.,publications/trial119
120,Intermittent BRAF inhibition in advanced BRAF mutated melanoma: results of a phase II randomized trial,https://doi.org/10.7910/dvn/tffsgr,Intermittent BRAF inhibition in advanced BRAF mutated melanoma: results of a phase II randomized trial. Dataset DOI: 10.7910/dvn/tffsgr.,publications/trial120
121,Acceptance lowers stress reactivity: Dismantling mindfulness training in a randomized controlled trial,https://doi.org/10.17632/bx2gvkty4c.2,Acceptance lowers stress reactivity: Dismantling mindfulness training in a randomized controlled trial. Dataset DOI: 10.17632/bx2gvkty4c.2.,publications/trial121
