Trial_ID,candidate_id,source_title,dataset_doi,cleaned_csv,cleaned_rds,decision,notes
100,RCTC-00170,rhTM for severe septic DIC,10.5061/dryad.2n6v4,rct_expansion/cleaned_data/trial100.csv,rct_expansion/cleaned_data/trial100.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
101,RCTC-00173,AMIGOS geriatric intervention economic evaluation,10.5061/dryad.6vh02,rct_expansion/cleaned_data/trial101.csv,rct_expansion/cleaned_data/trial101.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
102,RCTC-00175,Adjunctive clindamycin for cellulitis,10.5061/dryad.5q1j0,rct_expansion/cleaned_data/trial102.csv,rct_expansion/cleaned_data/trial102.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
103,RCTC-00180,TEAM MMHU economic evaluation,10.5061/dryad.90p17,rct_expansion/cleaned_data/trial103.csv,rct_expansion/cleaned_data/trial103.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
104,RCTC-00181,Preadmission clinic pharmacist collaborative prescribing,10.5061/dryad.81tr1,rct_expansion/cleaned_data/trial104.csv,rct_expansion/cleaned_data/trial104.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
105,RCTC-00888,Exercise program for pregnant women with obesity,10.5061/dryad.87f03,rct_expansion/cleaned_data/trial105.csv,rct_expansion/cleaned_data/trial105.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
106,RCTC-00890,Third wave cognitive therapy versus MBT,10.5061/dryad.2d7h5,rct_expansion/cleaned_data/trial106.csv,rct_expansion/cleaned_data/trial106.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
107,RCTC-00893,ED professional soft tissue injury management,10.5061/dryad.8jf11,rct_expansion/cleaned_data/trial107.csv,rct_expansion/cleaned_data/trial107.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
108,RCTC-01313,AKI alert randomized trial,10.5061/dryad.4f4qrfj95,rct_expansion/cleaned_data/trial108.csv,rct_expansion/cleaned_data/trial108.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
109,RCTC-01363,Vitamin K1/K2 vascular calcification trial,10.5061/dryad.vx0k6djsv,rct_expansion/cleaned_data/trial109.csv,rct_expansion/cleaned_data/trial109.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
110,RCTC-01383,Ferumoxytol versus oral iron in pregnancy,10.5061/dryad.k3j9kd5qd,rct_expansion/cleaned_data/trial110.csv,rct_expansion/cleaned_data/trial110.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
111,RCTC-01888,Abacus cognitive training app,10.5061/dryad.1ns1rn8zx,rct_expansion/cleaned_data/trial111.csv,rct_expansion/cleaned_data/trial111.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
112,RCTC-01926,NTrainer oral stimulation in preterm infants,10.5061/dryad.rg57q6m,rct_expansion/cleaned_data/trial112.csv,rct_expansion/cleaned_data/trial112.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
113,RCTC-01937,QuitPilot stroke/TIA smoking cessation,10.5061/dryad.p67jf576,rct_expansion/cleaned_data/trial113.csv,rct_expansion/cleaned_data/trial113.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
114,RCTC-01948,SEVEL early sitting in ischemic stroke,10.5061/dryad.jh15q,rct_expansion/cleaned_data/trial114.csv,rct_expansion/cleaned_data/trial114.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
115,RCTC-05226,SMS postpartum behaviors and family planning,10.5061/dryad.866t1g1nw,rct_expansion/cleaned_data/trial115.csv,rct_expansion/cleaned_data/trial115.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
