candidate_id,title,doi,repository,downloaded_file_count,download_failed_count,oversize_skipped_count,archive_extracted_file_count,readable_table_count,license_status,publication_status,randomization_status,crossover_status,participant_level_status,treatment_assignment_status,outcome_status,qualification_decision,reasons,best_readable_tables,treatment_evidence,outcome_evidence,next_action
RCTC-05859,Additional file 3: Table S2. of A randomized trial of the efficacy and safety of quilizumab in adults with inadequately controlled allergic asthma,10.6084/m9.figshare.c.3616040_d3.v1,Figshare,1,0,0,0,1,pass,pass,pass,no,pass,unclear_or_fail,unclear_or_fail,needs_manual_review_before_cleaning,treatment/group assignment not confirmed; outcomes not confirmed,12931_2016_347_MOESM3_ESM.xlsx:Sheet1 rows>=69 cols=5,,,Manual file/publication review before any cleaning.
RCTC-00459,Additional file 3: of Impact of a community pharmacist-led medication review on medicines use in patients on polypharmacy - a prospective randomised controlled trial,10.6084/m9.figshare.c.3603329_d1.v1,Figshare,1,0,0,0,1,pass,pass,pass,no,pass,pass,unclear_or_fail,needs_manual_review_before_cleaning,outcomes not confirmed,12913_2016_1384_MOESM3_ESM.xlsx:Tabelle1 rows>=293 cols=6,Study group,,Manual file/publication review before any cleaning.
RCTC-03185,Additional files 2: of The MOVE-trial: MonocrylÂŽ vs. Vicryl Rapideâ ˘ for skin repair in mediolateral episiotomies: a randomized controlled trial,10.6084/m9.figshare.c.3906040_d2,Figshare,1,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,needs_manual_review_before_cleaning,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Manual file/publication review before any cleaning.
RCTC-02952,Supplementary Material for: A Randomized Controlled Crossover Trial to Determine the Effects of Three Nostril Regulated Breathing Practices on Attention and Mood,10.6084/m9.figshare.28632596.v2,Karger Publishers,0,0,0,0,0,pass,pass,pass,yes,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; crossover design requires method decision before benchmark cleaning; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-06654,Supplementary Material for: Relevance of Collaterals for the Success of Neuroprotective Therapies in Acute Ischemic Stroke: Insights from the Randomized URICO-ICTUS Trial,10.6084/m9.figshare.8223833.v1,Karger Publishers,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-01257,Neuroepo multisession,10.82901/nemar.on003194,NEMAR (Neuroelectromagnetic Data Archive and Tools Resource),2,1,0,0,1,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,needs_manual_review_before_cleaning,1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,participants.tsv:delimited rows>=15 cols=3,,,Manual file/publication review before any cleaning.
RCTC-01258,Placebo Neuroepo multisession,10.82901/nemar.on003195,NEMAR (Neuroelectromagnetic Data Archive and Tools Resource),2,1,0,0,1,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,needs_manual_review_before_cleaning,1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,participants.tsv:delimited rows>=10 cols=3,,,Manual file/publication review before any cleaning.
RCTC-01239,sj-xlsx-7-hpq-10.1177_13591053221144977 – for Using a protection motivation theory framework to reduce vaping intention and behaviour in Canadian university students who regularely vape: A randomized controlled trial,10.25384/sage.21893732,SAGE Journals,0,1,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-06268,ANALGESIC EFFICACY OF EPIDURAL MORPHINE AND CLONIDINEIN PATIENTS UNDERGOING DECOMPRESSION OF THE LUMBAR CANAL: A PROSPECTIVE RANDOMIZED TRIAL,10.6084/m9.figshare.20014042,SciELO journals,0,7,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; 7 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-04149,Comparative effect of Fenugreek and Cinnamon on management of newly diagnosed cases of Type-2 Diabetes Mellitus,10.6084/m9.figshare.14318521.v1,SciELO journals,0,2,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; 2 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-06616,Comparison of 3 different anesthetic approaches for intravitreal injections: a prospective randomized trial,10.6084/m9.figshare.7101995,SciELO journals,0,5,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; 5 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-03940,Effectiveness of physical therapy in association with dance in healthy elderly: a randomized clinical trial,10.6084/m9.figshare.20016353,SciELO journals,0,3,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; 3 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-06221,Monthly phone calls and calendars to record falls rate in community-dwelling older adults included in a randomized clinical trial,10.6084/m9.figshare.20729013.v1,SciELO journals,0,8,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; 8 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-04454,Serious game for locomotor rehabilitation of hemiparetic stroke patients,10.6084/m9.figshare.11869107.v1,SciELO journals,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-03951,"The effect of antidepressant treatment on the HPA axis, changes in depression score and serum levels of TNF-α in depressed infertile women",10.6084/m9.figshare.11930166.v1,SciELO journals,0,4,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; 4 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-05085,Kahlon et al JAMA Open; title: Glycemic Control with Layperson-Delivered Telephone Calls vs. Usual Care for Patients with Diabetes: A Randomized Clinical Trial,10.18738/t8/nadlec,Texas Data Repository,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-01312,"Replication Data for ""Efficacy of an exoskeleton-based physical therapy program for non-ambulatory patients during subacute stroke rehabilitation: a randomized controlled trial""",10.14288/1.0444132,The University of British Columbia,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-04202,Additional file 1 of Improving malaria preventive practices and pregnancy outcomes through a health education intervention: A randomized controlled trial,10.6084/m9.figshare.13627127.v1,figshare,1,0,0,0,1,pass,pass,pass,no,pass,pass,pass,qualified_for_cleaning,all crude pre-cleaning checks passed,12936_2021_3586_MOESM1_ESM.xlsx:Sheet1 rows>=371 cols=31,GROUP,PREG_OUTCOME; BIRTH_WEIGHT,Read publication and map primary outcome/covariates before cleaning.
RCTC-03541,Additional file 2: of Cognitive training for children and adolescents with fragile X syndrome: a randomized controlled trial of Cogmed,10.6084/m9.figshare.7992737.v1,figshare,1,0,0,0,1,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,needs_manual_review_before_cleaning,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,11689_2019_9264_MOESM2_ESM.xlsx:Table S1.JM rows>=18 cols=7,,,Manual file/publication review before any cleaning.
RCTC-04407,Additional file 2: of Effects of spinal manipulative therapy biomechanical parameters on clinical and biomechanical outcomes of participants with chronic thoracic pain: a randomized controlled experimental trial,10.6084/m9.figshare.7608278.v1,figshare,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-03539,Additional file 3: of Cognitive training for children and adolescents with fragile X syndrome: a randomized controlled trial of Cogmed,10.6084/m9.figshare.7992740,figshare,1,0,0,0,1,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,needs_manual_review_before_cleaning,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,11689_2019_9264_MOESM3_ESM.xlsx:Table S2. RM rows>=18 cols=7,,,Manual file/publication review before any cleaning.
RCTC-04400,Additional file 3: of Effect of tailored use of tirofiban in patients with Non-ST-elevation acute coronary syndrome undergoing percutaneous coronary intervention: a randomized controlled trial,10.6084/m9.figshare.7238453.v1,figshare,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-01153,Additional file 3: of Exploring cued and non-cued motor imagery interventions in people with multiple sclerosis: a randomised feasibility trial and reliability study,10.6084/m9.figshare.5945863.v1,figshare,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-01154,Results of a randomised trial assessing the effectiveness of different dosages of levofloxacin to cure Helicobacter pylori infection,10.6084/m9.figshare.6176576.v1,figshare,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-00206,NTNU Intranasal Naloxone Trial (NINA-1) Study documents,10.18710/abruww,DataverseNO,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-06999,Weather and pain,10.18710/czzt5f,DataverseNO Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-05841,"Additional file 2: of Comparing the effect of 0.06% -, 0.12% and 0.2% Chlorhexidine on plaque, bleeding and side effects in an experimental gingivitis model: a parallel group, double masked randomized clinical trial",10.6084/m9.figshare.c.3857881_d2,Figshare,1,0,0,0,3,pass,pass,pass,no,pass,pass,pass,qualified_for_cleaning,all crude pre-cleaning checks passed,12903_2017_400_MOESM2_ESM.xlsx:Ark1 rows>=60 cols=108 | 12903_2017_400_MOESM2_ESM.xlsx:Sheet1 rows>=45 cols=4,Code group,,Read publication and map primary outcome/covariates before cleaning.
RCTC-07226,Diabetes Mellitus “Comorbidity” or an Important Risk Factor?,10.7910/dvn/jaw6ax,Harvard Dataverse,1,0,0,0,1,fail_or_unclear,pass,unclear_or_fail,no,pass,unclear_or_fail,pass,not_qualified_before_cleaning,license/restriction check not clean; individual randomization not confirmed by metadata; treatment/group assignment not confirmed,diabetes.tab:delimited rows>=768 cols=9,,Glucose; BloodPressure; Insulin; BMI; Outcome,Do not clean unless metadata/access issue is resolved.
RCTC-07219,"Replication Data for ""The Impact of Text Message Reminders on Adherence to Antimalarial Treatment""",10.7910/dvn/fomqoo,Harvard Dataverse,3,0,0,0,2,fail_or_unclear,pass,pass,no,pass,pass,pass,not_qualified_before_cleaning,license/restriction check not clean,PACT_30March2012.tab:delimited rows>=1000 cols=567,treated_ate; _treated_itt; _treated_mhis,_FU_outcome; eFUattp1_e18_IWoutcome; eFUattp2_e18_IWoutcome; eFUattp3_e18_IWoutcome; eFUattp_phoneFU_IWoutcome; eFUattp_phoneFU_e18_IWoutcome; eFUbackcheck_e18_IWoutcome; l1_postpone; m1_symptoms; p11e_vomit; p12e_vomit; p13e_vomit; p14e_vomit; p15e_vomit; p16e_vomit; p22_weightkg; r13a_msgchange; r13b_msgchange; r13c_msgchange; r13d_msgchange; r13e_msgchange; r13f_msgchange; r13g_msgchange; v2j_accepted; matching_quality; MHIS_match_quality,Do not clean unless metadata/access issue is resolved.
RCTC-06982,Balancing Time in College: Examining Time-Use and Academic Outcomes of Students in a Comprehensive College Transition Program,10.3886/e131041v1,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-07192,"Data and Codes for: Tutoring Efficacy, Household Substitution, and Student Achievement",10.3886/e193091v1,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-07047,"Demonstrating Respect and Acceptable Consent Strategies: What Matters to Patients in Patient-Centered Outcomes Research (PCOR)? [Methods Study], United States, 2017 Version 1",10.3886/icpsr39575.v1,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,unclear_or_fail,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; individual randomization not confirmed by metadata; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-07246,"Design and Methodological Improvements for Patient-Centered Small n Sequential Multiple Assignment Randomized Trials (snSMARTs) in the Setting of Rare Diseases [Methods Study], 2016-2020 Archival Version",10.3886/icpsr39636,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-07247,"Design and Methodological Improvements for Patient-Centered Small n Sequential Multiple Assignment Randomized Trials (snSMARTs) in the Setting of Rare Diseases [Methods Study], 2016-2020 Version 1",10.3886/icpsr39636.v1,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-07205,"Efficacy Study of Adventures Aboard the S.S.GRIN: Social, Emotional, and Academic Skills, WestEd and 3C Institute, 2019-2023",10.3886/e191912v1,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,unclear_or_fail,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; individual randomization not confirmed by metadata; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-07054,"Engaging Stakeholders in Building Patient-Centered, N-of-1 Randomized and Other Controlled Trial Methods [Methods Study], New York, 2014-2019 Archival Version",10.3886/icpsr39585,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-07055,"Engaging Stakeholders in Building Patient-Centered, N-of-1 Randomized and Other Controlled Trial Methods [Methods Study], New York, 2014-2019 Version 1",10.3886/icpsr39585.v1,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-07052,Extending the Analysis of Nurse Family Partnership on Maternal and Child Mortality,10.3886/e108425,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-07053,Extending the Analysis of Nurse Family Partnership on Maternal and Child Mortality,10.3886/e108425v1,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-06975,Improving Children's Understanding of Mathematical Equivalence: An Efficacy Study,10.3886/e182542v1,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-06889,Increasing Community College Completion Rates among Low-Income Students: Evidence from a Randomized Controlled Trial Evaluation of a Case Management Intervention,10.3886/e120838v1,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-07273,"Memphis New Mothers Study, 1990-1994 Version 3",10.3886/icpsr06782.v3,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-06972,PODER Familiar: Health Promotion for Latino Families of Children With IDD (PODER),10.3886/e233931v1,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-06973,PRESCHOOL FIRST STEP TO SUCCESS: AN EFFICACY REPLICATION STUDY,10.3886/e194849v1,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-07004,Power To Quit I,10.3886/e165321v1,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-07231,Replication data for: Incentives and Services for College Achievement: Evidence from a Randomized Trial,10.3886/e116327v1-102560,ICPSR Harvested Dataverse,0,0,0,0,0,fail_or_unclear,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
